	A1	A2	A3	A4	A5	B1	B2	B3	B4	B5	C1	C2	C3	C4	C5	D1	D2	D3	D4	D5
ASV_1	53315	99719	56229	95348	49690	37422	46830	38393	80144	49607	1739	42774	63554	32874	68028	60271	29840	75413	63557	39219
ASV_2	1	1343	22010	2433	17801	37070	24127	15099	4771	26248	2419	18840	8323	6044	10277	15442	45847	8767	17420	34568
ASV_3	3503	5638	3569	6075	3576	2497	2385	2895	5430	3225	41	2596	3899	2466	3976	3843	1141	5045	3891	1964
ASV_4	2909	5038	3289	5518	3471	2314	2241	2621	4981	2798	59	2554	3378	2252	3830	3706	1077	4871	3539	2079
ASV_5	1	0	0	0	0	0	0	0	0	0	44381	2887	1163	289	149	0	0	0	0	0
ASV_6	721	1084	898	1476	684	397	492	528	1185	772	52	796	923	583	1077	811	579	1091	947	523
ASV_7	616	1321	782	1242	767	540	492	534	1083	694	28	702	1074	534	850	839	305	1148	906	543
ASV_8	626	1088	594	1216	626	71	316	472	844	879	43	531	537	436	727	710	433	959	778	561
ASV_9	155	315	489	341	384	537	706	771	545	587	59	812	982	701	802	702	1162	575	660	1150
ASV_10	0	0	0	0	0	0	1	0	0	0	11673	7	1	14	4	0	0	0	0	0
ASV_11	429	633	293	693	498	165	374	328	669	380	1	404	538	389	619	440	117	614	471	199
ASV_12	355	556	401	641	328	127	456	267	482	245	1	193	465	238	511	346	251	473	446	309
ASV_13	311	480	376	546	255	257	468	252	511	332	0	245	464	160	495	364	212	320	337	250
ASV_14	370	442	205	520	296	173	471	204	447	289	4	293	342	214	546	325	98	358	282	138
ASV_15	257	385	301	659	302	196	18	243	450	392	11	209	466	209	474	265	117	378	395	167
ASV_16	262	671	263	459	310	275	60	139	444	169	0	177	413	227	312	325	184	472	327	160
ASV_17	229	426	221	482	257	101	101	223	372	355	29	225	396	197	319	292	141	439	352	198
ASV_18	226	405	160	421	188	272	0	227	320	423	54	301	336	140	337	239	141	326	261	239
ASV_19	272	425	266	426	197	96	34	196	410	239	119	159	280	139	350	216	117	350	294	247
ASV_20	0	0	0	0	0	0	0	0	0	0	4771	13	5	6	0	0	0	0	0	0
ASV_21	230	339	261	295	249	248	527	107	316	195	0	211	288	125	312	237	119	339	256	114
ASV_22	237	342	183	452	256	357	140	180	374	214	0	212	199	159	282	262	97	363	206	145
ASV_23	206	327	214	429	183	0	193	131	394	235	0	346	237	120	189	320	145	344	320	189
ASV_24	41	12	0	23	0	59	0	176	52	13	0	80	83	87	336	147	2126	16	45	1116
ASV_25	220	287	238	322	153	251	365	133	270	284	0	197	330	110	272	182	123	171	188	129
ASV_26	141	318	228	350	252	190	15	170	330	165	26	207	162	188	269	222	81	327	262	147
ASV_27	3	0	0	0	0	0	0	0	57	169	3528	15	32	3	6	0	0	0	0	0
ASV_28	179	356	239	315	175	110	165	148	271	196	0	145	251	87	174	233	87	321	230	98
ASV_29	181	513	144	261	159	228	292	113	259	26	1	77	170	76	191	181	86	251	186	109
ASV_30	134	555	121	212	184	173	164	128	266	96	0	128	123	121	174	194	105	235	177	104
ASV_31	62	78	0	58	3	85	0	175	120	37	1	129	167	115	475	196	818	49	87	539
ASV_32	171	237	144	291	153	55	1	101	236	141	0	112	220	125	195	163	86	220	168	69
ASV_33	141	202	136	251	170	69	122	113	263	53	0	89	163	125	209	159	41	278	152	97
ASV_34	161	243	126	245	191	217	23	111	203	68	0	99	125	129	206	175	24	182	165	90
ASV_35	189	144	150	243	169	43	155	141	235	169	16	85	104	106	212	139	24	186	133	104
ASV_36	146	242	86	303	135	106	66	78	242	131	0	49	164	103	217	131	32	217	180	89
ASV_37	203	232	134	279	121	0	1	103	211	157	0	151	210	88	223	140	25	194	145	90
ASV_38	129	236	130	302	133	1	154	99	143	128	0	92	123	87	191	155	75	184	126	90
