	Domain	Supergroup	Division	Subdivision	Class	Order	Family	Genus	Species
ASV_1	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium_sp.
ASV_2	Eukaryota	Obazoa	Opisthokonta	Metazoa	Cnidaria	Cnidaria_X	Anthozoa	Pocillopora	Pocillopora_damicornis
ASV_3	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium_sp.
ASV_4	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium_sp.
ASV_5	Eukaryota	Archaeplastida	Streptophyta	Streptophyta_X	Embryophyceae	Embryophyceae_X	Embryophyceae_XX	Citrullus	Citrullus_lanatus
ASV_6	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium_sp.
ASV_7	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium_sp.
ASV_8	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium_sp.
ASV_9	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium_sp.
ASV_10	Eukaryota	Archaeplastida	Streptophyta	Streptophyta_X	Embryophyceae	Embryophyceae_X	Embryophyceae_XX	Nicotiana	Nicotiana_attenuata
ASV_11	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium_sp.
ASV_12	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium_sp.
ASV_13	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Suessiales	Symbiodiniaceae	Cladocopium	Cladocopium_sp.
